,n,p,TP,FP,product,adj_R2
104,0.01,0.03,64.05,-19.74,-0.01,1.0
105,0.01,0.04,52.15,-27.29,-0.01,1.0
106,0.01,0.05,45.14,-35.53,-0.01,1.0
107,0.01,0.06,40.58,-44.44,-0.01,0.99
108,0.01,0.07,37.07,-53.04,-0.01,0.99
109,0.01,0.08,33.13,-53.59,-0.01,0.99
110,0.01,0.09,29.78,-48.74,-0.01,0.99
111,0.01,0.1,26.99,-40.83,-0.01,0.98
112,0.01,0.11,24.66,-31.31,-0.01,0.98
113,0.01,0.12,22.7,-21.11,-0.01,0.98
114,0.01,0.13,21.03,-10.8,-0.01,0.97
115,0.01,0.14,19.6,-0.7,-0.01,0.97
116,0.01,0.15,18.36,9.01,-0.01,0.97
117,0.01,0.16,17.28,18.26,-0.01,0.97
118,0.01,0.17,16.33,27.03,-0.01,0.96
119,0.01,0.18,15.49,35.33,-0.01,0.96
120,0.01,0.19,14.74,43.19,-0.01,0.96
121,0.01,0.2,14.07,50.64,-0.01,0.96
122,0.01,0.21,13.46,57.73,-0.01,0.96
123,0.01,0.22,12.92,64.49,-0.01,0.96
124,0.01,0.23,12.42,70.97,-0.01,0.96
125,0.01,0.24,11.97,77.18,-0.01,0.95
126,0.01,0.25,11.56,83.18,-0.01,0.95
127,0.01,0.26,11.18,88.97,-0.01,0.95
128,0.01,0.27,10.83,94.58,-0.01,0.95
129,0.01,0.28,10.52,100.05,-0.01,0.95
130,0.01,0.29,10.23,105.37,-0.01,0.95
131,0.01,0.3,9.96,110.58,-0.01,0.95
132,0.01,0.31,9.71,115.68,-0.01,0.95
133,0.01,0.32,9.49,120.68,-0.01,0.95
134,0.01,0.33,9.28,125.61,-0.01,0.95
135,0.01,0.34,9.09,130.46,-0.01,0.94
136,0.01,0.35000000000000003,8.92,135.25,-0.01,0.94
137,0.01,0.36,8.76,139.98,-0.01,0.94
138,0.01,0.37,8.62,144.64,-0.01,0.94
139,0.01,0.38,8.5,149.26,-0.01,0.94
140,0.01,0.39,8.4,153.81,-0.01,0.94
141,0.01,0.4,8.31,158.3,-0.01,0.94
142,0.01,0.41000000000000003,8.24,162.71,-0.01,0.94
143,0.01,0.42,8.19,167.01,-0.01,0.94
144,0.01,0.43,8.16,171.19,-0.01,0.94
145,0.01,0.44,8.16,175.18,-0.01,0.94
146,0.01,0.45,8.2,178.91,-0.01,0.93
147,0.01,0.46,8.27,182.25,-0.01,0.93
148,0.01,0.47000000000000003,8.39,184.97,-0.01,0.93
149,0.01,0.48,8.59,186.73,-0.01,0.93
150,0.01,0.49,8.89,186.86,-0.01,0.93
151,0.01,0.5,9.36,184.06,-0.01,0.93
152,0.01,0.51,10.11,175.54,-0.02,0.92
153,0.01,0.52,11.38,154.27,-0.02,0.92
154,0.01,0.53,13.72,98.89,-0.02,0.92
155,0.01,0.54,18.64,-73.01,-0.03,0.93
156,0.01,0.55,32.07,-656.03,-0.03,0.96
157,0.01,0.56,50.73,-1488.23,-0.02,0.99
158,0.01,0.5700000000000001,51.69,-1539.62,-0.02,0.99
159,0.01,0.58,52.65,-1591.59,-0.02,0.99
160,0.01,0.59,53.61,-1643.92,-0.02,1.0
161,0.01,0.6,54.56,-1696.31,-0.02,1.0
162,0.01,0.61,55.48,-1748.28,-0.02,1.0
163,0.01,0.62,56.37,-1799.18,-0.02,1.0
164,0.01,0.63,57.19,-1848.16,-0.02,1.0
165,0.01,0.64,57.92,-1894.22,-0.02,1.0
166,0.01,0.65,58.54,-1936.27,-0.02,1.0
